Tipo de Incidencia,Clave de incidencia,ID de la incidencia,Resumen,Persona asignada,ID de la persona asignada,Informador,ID del informador,Prioridad,Estado,Resolución,Creada,Actualizada,Fecha de vencimiento
Subtarea,GMT-31,10040,Ajuste de políticas de acceso y CORS en S3,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Tareas por hacer,,18/abr/26 1:29 AM,18/abr/26 1:55 AM,
Subtarea,GMT-30,10038,Depuración de tiempos de respuesta y entrega del servicio SMTP,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Tareas por hacer,,18/abr/26 1:26 AM,18/abr/26 1:54 AM,
Subtarea,GMT-29,10036,Refactorización y pruebas de estrés del motor de validación Regex,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Tareas por hacer,,18/abr/26 1:24 AM,18/abr/26 1:54 AM,
Tarea,GMT-26,10032,"Crear la interfaz de usuario básica para que las empresas puedan publicar los detalles de la vacante (Carrera dirigida, apoyo económico, perfil buscado).",Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Tareas por hacer,,18/abr/26 1:17 AM,18/abr/26 1:47 AM,
Tarea,GMT-25,10031,Implementar lógica de filtrado en el controlador de vacantes que compare el campo porcentaje_creditos del alumno contra el requisito de la vacante (ej. 70%),Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Tareas por hacer,,18/abr/26 1:17 AM,18/abr/26 1:47 AM,
Historia,GMT-24,10030,"""Como alumno de últimos semestres, quiero ver únicamente las vacantes de residencias que coincidan con mi carrera y para las cuales cumplo el requisito de créditos aprobados""",Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Tareas por hacer,,18/abr/26 1:16 AM,18/abr/26 1:47 AM,
Tarea,GMT-23,10029,"Crear una vista básica de ""Pendientes de Aprobación"" para que el administrador del sistema pueda activar o rechazar cuentas de empresas",Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Tareas por hacer,,18/abr/26 1:16 AM,18/abr/26 1:47 AM,
Tarea,GMT-22,10028,Implementar el formulario de carga de documentos de identidad empresarial con destino al bucket de S3.,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Tareas por hacer,,18/abr/26 1:16 AM,18/abr/26 1:47 AM,
Tarea,GMT-21,10027,Diseñar y ejecutar la migración en PostgreSQL para las tablas Empresas y Vacantes,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Tareas por hacer,,18/abr/26 1:16 AM,18/abr/26 1:47 AM,
Historia,GMT-20,10026,"""Como representante de una empresa, quiero registrar mi organización y adjuntar mi Constancia de Situación Fiscal (RFC) para que el administrador valide la existencia legal de mi negocio antes de publicar vacantes""",Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Tareas por hacer,,18/abr/26 1:14 AM,18/abr/26 1:47 AM,
Tarea,GMT-19,10025,"Modificar el perfil de usuario para almacenar únicamente la URL del objeto de S3 en la base de datos de RDS, evitando guardar binarios en la DB",Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Tareas por hacer,,18/abr/26 1:13 AM,18/abr/26 1:47 AM,
Tarea,GMT-18,10024,Integrar el AWS SDK en el proyecto ASP.NET MVC para gestionar la subida y lectura de archivos,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Tareas por hacer,,18/abr/26 1:13 AM,18/abr/26 1:47 AM,
Tarea,GMT-17,10023,Crear y configurar un Bucket en Amazon S3 con políticas de acceso controlado para archivos públicos (fotos) y privados (documentos),Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Tareas por hacer,,18/abr/26 1:10 AM,18/abr/26 1:47 AM,
Historia,GMT-16,10022,"""Como usuario de GMT, quiero subir una foto de perfil para que mi identidad sea reconocible ante empresas o alumnos en la plataforma""",Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Tareas por hacer,,18/abr/26 1:10 AM,18/abr/26 1:47 AM,
Tarea,GMT-15,10021,Actualizar la tabla de Usuarios en PostgreSQL para incluir el estado de verificación y el token de seguridad,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,En curso,,18/abr/26 1:09 AM,18/abr/26 1:47 AM,
Tarea,GMT-14,10020,Configurar el servicio SMTP (vía Amazon SES o Gmail) para el envío de correos de verificación de cuenta,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,High,En curso,,18/abr/26 1:09 AM,18/abr/26 1:48 AM,
Tarea,GMT-13,10019,Implementar validación por expresión regular (Regex) en el formulario de registro para restringir el dominio de correo,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,En curso,,18/abr/26 1:09 AM,18/abr/26 1:47 AM,
